"y1" "y2" "y3" "y4" "y5" "y6" "y7" "y8" "y9" "y10" "y11" "y12" "y13" "y14" "y15"
"y1" 2.283 0.7 0.7 0 0.0693 0 0.11 0.14 0.077 0.1 0.07 0.07 0.121 0.0847 0.0847
"y2" 0.7 2.0249 0.49 0.63 0.5332 0.441 0.1463 0.1862 0.1024 0.133 0.0931 0.0931 0.0979 0.0686 0.0686
"y3" 0.7 0.49 1.119 0 0.0485 0 0.077 0.098 0.0539 0.07 0.049 0.049 0.0847 0.0593 0.0593
"y4" 0 0.63 0 2.283 0.7693 0.7 0.11 0.14 0.077 0.1 0.07 0.07 0.021 0.0147 0.0147
"y5" 0.0693 0.5332 0.0485 0.7693 2.2685 0.5385 0.7222 0.5977 0.5055 0.1462 0.1024 0.1024 0.0938 0.0656 0.0656
"y6" 0 0.441 0 0.7 0.5385 1.119 0.077 0.098 0.0539 0.07 0.049 0.049 0.0147 0.0103 0.0103
"y7" 0.11 0.1463 0.077 0.11 0.7222 0.077 2.3381 0.7931 0.7169 0.121 0.0847 0.0847 0.1255 0.0879 0.0879
"y8" 0.14 0.1862 0.098 0.14 0.5977 0.098 0.7931 2.3044 0.5552 0.721 0.5047 0.5047 0.1654 0.1158 0.1158
"y9" 0.077 0.1024 0.0539 0.077 0.5055 0.0539 0.7169 0.5552 1.1458 0.0847 0.0593 0.0593 0.0879 0.0615 0.0615
"y10" 0.1 0.133 0.07 0.1 0.1462 0.07 0.121 0.721 0.0847 2.306 0.707 0.707 0.1231 0.0862 0.0862
"y11" 0.07 0.0931 0.049 0.07 0.1024 0.049 0.0847 0.5047 0.0593 0.707 1.1299 0.4949 0.0862 0.0603 0.0603
"y12" 0.07 0.0931 0.049 0.07 0.1024 0.049 0.0847 0.5047 0.0593 0.707 0.4949 1.1299 0.0862 0.0603 0.0603
"y13" 0.121 0.0979 0.0847 0.021 0.0938 0.0147 0.1255 0.1654 0.0879 0.1231 0.0862 0.0862 2.345 0.7189 0.7189
"y14" 0.0847 0.0686 0.0593 0.0147 0.0656 0.0103 0.0879 0.1158 0.0615 0.0862 0.0603 0.0603 0.7189 1.1492 0.5032
"y15" 0.0847 0.0686 0.0593 0.0147 0.0656 0.0103 0.0879 0.1158 0.0615 0.0862 0.0603 0.0603 0.7189 0.5032 1.1492
